#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
  41.0000000    8.2000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  41.5000000    8.3000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  42.0000000    8.4000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  42.5000000    8.5000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  43.0000000    8.6000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  43.5000000    8.7000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  44.0000000    8.8000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  44.5000000    8.9000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  45.0000000    9.0000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  45.5000000    9.1000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  46.0000000    9.2000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  46.5000000    9.3000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  47.0000000    9.4000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  47.5000000    9.5000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  48.0000000    9.6000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  48.5000000    9.7000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  49.0000000    9.8000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  49.5000000    9.9000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
